No.,분류,처방명,별명,구성,[등록]
69,함흉제,대함흉탕,,대황:12/망초:24/감수:2,+?/?-
70,함흉제,대함흉환,,대황:16/정력자:16/망초:12/행인:10/감수:2,+?/?-
71,함흉제,소함흉탕,,황련:3/반하:16/과루인:16,+?/?-
72,함흉제,감수반하탕,,감수:0.6/반하:2/작약:2/자감초:1.4,+?/?-
73,대황제,대승기탕,,대황:8/망초:7/후박:16/지실:10,+?/?-
74,대황제,소승기탕,,대황:8/후박:4/지실:6,+?/?-
75,대황제,조위승기탕,,대황:8/망초:12/자감초:4,+?/?-
76,대황제,후박칠물탕,,대황:6/후박:16/지실:10/자감초:6/대추:5/계지:4/생강:10,+?/?-
77,대황제,후박삼물탕,,후박:16/대황:8/지실:10,+?/?-
78,대황제,마자인환,,마자인:32/작약:16/지실:16/대황:32/후박:20/행인:20,+?/?-
79,대황제,대황감수탕,,대황:8/감수:4/아교주:4,+?/?-
80,대황제,대황망초탕,,대황:8/황백:8/망초:8/치자:3,+?/?-
81,대황제,대황부자탕,,대황:6/부자:3/세신:4,+?/?-
82,석고제,백호가인삼탕,백인,석고:32/지모:12/갱미:18/자감초:4/인삼:6,+?/?-
83,석고제,백호탕,,석고:32/지모:12/갱미:18/자감초:4,+?/?-
84,석고제,백호가계지탕,,석고:32/지모:12/갱미:6/자감초:4/계지:6,+?/?-
85,석고제,죽엽석고탕,죽석,석고:32/갱미:15/자감초:4/죽엽:4/인삼:4/맥문동:20/반하:16,+?/?-
86,건강제,인삼탕,이중탕,인삼:6/백출:6/자감초:6/건강:6,+?/?-
87,건강제,계지인삼탕,,인삼:6/백출:6/자감초:8/건강:6/계지:8,+?/?-
88,건강제,대건중탕,,인삼:4/건강:8/교이:20/촉초:2,+?/?-
89,건강제,감초건강탕,,자감초:8/건강:6,+?/?-
90,건강제,생강감초탕,,생강:10/인삼:6/자감초:8/대추:6,+?/?-
91,,백엽탕,,측백엽:9/건강:9/애엽:9,+?/?-
92,,도화탕,,적석지:32/건강:2/갱미:30,+?/?-
93,감초제,감초탕,,생감초:4,+?/?-
94,감초제,길경탕,,생감초:4/길경:2,+?/?-
95,감초제,배농탕,,생감초:4/길경:6/대추:5/생강:2,+?/?-
96,감초제,배농산,,길경:2/작약:6/지실:10,+?/?-
97,감초제,배농산급탕,,생감초:4/길경:6/대추:5/생강:2/작약:6/지실:10,+?/?-
98,감초제,감맥대조탕,,생감초:6/대추:5/부소맥:28,+?/?-
99,부자제,사역탕,,부자:2/자감초:4/건강:3,+?/?-
100,부자제,사역가인삼탕,,부자:2/자감초:4/건강:3/인삼:2,+?/?-
101,부자제,복령사역탕,,부자:2/자감초:4/건강:3/인삼:2/복령:8,+?/?-
102,부자제,통맥사역탕,,부자:3/자감초:4/건강:6,+?/?-
103,부자제,건강부자탕,,건강:2/부자:2,+?/?-
104,부자제,진무탕,,부자:1/백출:4/복령:6/작약:6/생강:6,+?/?-
105,부자제,부자탕,,부자:2/인삼:4/백출:8/복령:6/작약:6,+?/?-
106,부자제,의이부자패장산,,부자:2/의이인:16/패장:8,+?/?-
107,부자제,부자갱미탕,,부자:1/자감초:2/반하:16/대추:5/갱미:15,+?/?-
108,귤피제,귤피탕,,귤피:8/생강:16,+?/?-
109,귤피제,귤피지실생강탕,귤지생,귤피:32/지실:6/생강:16,+?/?-
110,귤피제,귤피죽여탕,귤죽,귤피:16/죽여:4/대추:15/생강:16/자감초:10/인삼:2,+?/?-
111,귤피제,귤피대황박초탕,,귤피:3/대황:6/망초:6,+?/?-
